client,facility,system,device,channo,channame,chanunits,description
Woodside,Scarborough,IMMS,,45,LQ GPS Quality,code,"GNSS Quality indicator (0 = invalid, 1 = GPS SPS, 2 = DGPS fix, 3 = GPS PPS, 4 = Fixed RTK, 5 = Float RTK, 6 = Estimated (dead reckoning), 7 = Manual Input , 8 = Simulation, 9 = SBAS"
Woodside,Scarborough,IMMS,,46,LQ Number of Satellites,#,Number of Satellites available to LQ GNSS for position measurement.
Woodside,Scarborough,IMMS,,47,LQ HDOP,#,Horizontal dilution of precission number reported at the LQ GNSS.
Woodside,Scarborough,IMMS,,48,LQ Age of Diff Corr,sec,Time lag of the LQ GNSS correction signal in seconds.
Woodside,Scarborough,IMMS,,49,LQ GNSS Heading,deg,Measured heading of the vessel by the LQ GNSS. +ve heading is Platform East (x-axis) clockwise of True North.
Woodside,Scarborough,IMMS,,50,LQ Raw Wind Dir,deg,"Wind direction FROM measured at the LQ anemometer, relative to the vessel reference."
Woodside,Scarborough,IMMS,,51,LQ Raw Wind Spd,m/s,Wind speed measured at the LQ anemometer
Woodside,Scarborough,IMMS,,52,SEC Raw Wind Dir,deg,"Wind direction FROM measured relative to the SEC encoder, at the SEC anemometer"
Woodside,Scarborough,IMMS,,53,SEC Raw Wind Spd,m/s,Wind speed measured at the SEC anemometer
Woodside,Scarborough,IMMS,,54,SEC Enc Heading,deg,"SEC Encoder heading, relative to the vessel reference."
Woodside,Scarborough,IMMS,,55,SEC Latitude DegMin,degMin,Latitude of the antenna in terms of degrees and integer minutes
Woodside,Scarborough,IMMS,,56,SEC Latitude DecMin,decMin,Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4)
Woodside,Scarborough,IMMS,,57,SEC Latitude DecMin2,decMin,Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8)
Woodside,Scarborough,IMMS,,58,SEC Longitude DegMin,degMin,Longitude of the antenna in terms of degrees and integer minutes
Woodside,Scarborough,IMMS,,59,SEC Longitude DecMin,decMin,Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4)
Woodside,Scarborough,IMMS,,60,SEC Longitude DecMin2,decMin,Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8)
Woodside,Scarborough,IMMS,,61,SEC Altitude 1,m,Altitude measurement at the antenna location in terms of integer meters
Woodside,Scarborough,IMMS,,62,SEC Altitude 2,10mm,Altitude measurement at the antenna location in terms of integer centimeters
Woodside,Scarborough,IMMS,,63,SEC GPS Quality,code,"GNSS Quality indicator (0 = invalid, 1 = GPS SPS, 2 = DGPS fix, 3 = GPS PPS, 4 = Fixed RTK, 5 = Float RTK, 6 = Estimated (dead reckoning), 7 = Manual Input , 8 = Simulation, 9 = SBAS"
Woodside,Scarborough,IMMS,,64,SEC Number of Satellites,#,Number of Satellites available for SEC GNSS position measurement.
Woodside,Scarborough,IMMS,,65,SEC HDOP,#,Horizontal dilution of precission number reported at the SEC GNSS.
Woodside,Scarborough,IMMS,,66,SEC Age of Diff Corr,sec,Time lag of the SEC GNSS correction signal in seconds.
Woodside,Scarborough,IMMS,,67,NWC Raw Wind Dir,deg,"Wind direction FROM measured relative to the NWC encoder, at the NWC anemometer"
Woodside,Scarborough,IMMS,,68,NWC Raw Wind Spd,m/s,Wind speed measured at the NWC anemometer
Woodside,Scarborough,IMMS,,69,NWC Enc Heading,deg,"NWC Encoder heading, relative to the vessel reference."
Woodside,Scarborough,IMMS,,70,NWC Latitude DegMin,degMin,Latitude of the antenna in terms of degrees and integer minutes
Woodside,Scarborough,IMMS,,71,NWC Latitude DecMin,decMin,Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4)
